epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,207.997,0.72362,1.34629,0.97132,0.78573,0.67714,0.74944,0.64217,0.76193,1.92098,1.03697,0.00998647,0.00998647,0.00998647
43,212.905,0.64444,1.28367,0.93295,0.84058,0.67773,0.76907,0.65299,0.69866,1.61177,1.00926,0.00998614,0.00998614,0.00998614
44,217.774,0.68874,1.32781,0.93572,0.75548,0.71481,0.76744,0.60231,0.86024,1.73016,1.09738,0.00998581,0.00998581,0.00998581
45,222.566,0.7092,1.22461,0.91663,0.75548,0.71481,0.76744,0.60231,0.86024,1.73016,1.09738,0.00998548,0.00998548,0.00998548
46,227.376,0.67063,1.19935,0.90031,0.74909,0.7224,0.75794,0.63811,0.76498,1.66041,1.04724,0.00998515,0.00998515,0.00998515
47,232.278,0.71388,1.25355,0.9106,0.7789,0.7224,0.77133,0.63265,0.74809,1.61159,1.03851,0.00998482,0.00998482,0.00998482
48,237.169,0.71123,1.20401,0.95365,0.88575,0.62599,0.76082,0.63145,0.7374,1.49882,1.05896,0.00998449,0.00998449,0.00998449
49,241.997,0.61919,1.1515,0.9007,0.88575,0.62599,0.76082,0.63145,0.7374,1.49882,1.05896,0.00998416,0.00998416,0.00998416
50,246.816,0.63604,1.21984,0.92163,0.78721,0.71322,0.74936,0.56365,0.84953,1.63768,1.10508,0.00998383,0.00998383,0.00998383
51,251.644,0.63608,1.27574,0.91628,0.81633,0.68356,0.74833,0.61777,0.70859,1.63123,1.06652,0.0099835,0.0099835,0.0099835
52,256.496,0.69848,1.22662,0.95602,0.79307,0.70781,0.7412,0.57949,0.88969,1.79579,1.1412,0.00998317,0.00998317,0.00998317
53,261.225,0.65321,1.18204,0.94344,0.79307,0.70781,0.7412,0.57949,0.88969,1.79579,1.1412,0.00998284,0.00998284,0.00998284
54,266.054,0.65189,1.17675,0.9252,0.76544,0.72845,0.73928,0.61274,0.77503,1.68005,1.06789,0.00998251,0.00998251,0.00998251
55,270.843,0.6463,1.19274,0.90748,0.77289,0.69576,0.7036,0.53891,0.81325,1.75955,1.07731,0.00998218,0.00998218,0.00998218
56,275.645,0.69259,1.1964,0.95046,0.77949,0.67751,0.74671,0.59527,0.75279,1.79031,1.03763,0.00998185,0.00998185,0.00998185
57,280.458,0.63583,1.08262,0.92989,0.77949,0.67751,0.74671,0.59527,0.75279,1.79031,1.03763,0.00998152,0.00998152,0.00998152
58,285.244,0.6292,1.14009,0.93413,0.8172,0.71033,0.74653,0.58545,0.77963,1.67221,1.03313,0.00998119,0.00998119,0.00998119
59,290.096,0.61197,1.08627,0.93974,0.82318,0.7028,0.70594,0.56288,0.7194,1.58578,1.02406,0.00998086,0.00998086,0.00998086
60,294.907,0.62002,1.09984,0.92659,0.7932,0.72032,0.70923,0.57124,0.67889,1.77909,0.97988,0.00998053,0.00998053,0.00998053
61,299.721,0.57154,0.94426,0.90269,0.7932,0.72032,0.70923,0.57124,0.67889,1.77909,0.97988,0.0099802,0.0099802,0.0099802
62,304.585,0.66401,1.1141,0.90396,0.8112,0.70093,0.72322,0.61485,0.69353,1.80893,0.98458,0.00997987,0.00997987,0.00997987
63,309.426,0.69259,1.16014,0.93849,0.75852,0.69711,0.75542,0.62491,0.71259,1.83337,1.00088,0.00997954,0.00997954,0.00997954
64,314.171,0.62649,1.04241,0.90531,0.79933,0.70299,0.7517,0.63945,0.63912,1.79599,0.95179,0.00997921,0.00997921,0.00997921
65,318.969,0.65949,1.11477,0.94858,0.79933,0.70299,0.7517,0.63945,0.63912,1.79599,0.95179,0.00997888,0.00997888,0.00997888
66,323.818,0.62496,1.03069,0.9243,0.73749,0.70998,0.75333,0.61079,0.73772,1.55173,1.00422,0.00997855,0.00997855,0.00997855
67,328.582,0.64757,1.14084,0.9154,0.73264,0.78214,0.75324,0.63235,0.63756,1.99677,0.95468,0.00997822,0.00997822,0.00997822
68,333.332,0.58767,0.84167,0.86635,0.75042,0.78214,0.75251,0.60707,0.73821,2.10761,0.99741,0.00997789,0.00997789,0.00997789
69,338.11,0.75737,1.04048,0.95839,0.75042,0.78214,0.75251,0.60707,0.73821,2.10761,0.99741,0.00997756,0.00997756,0.00997756
70,342.895,0.62214,0.98361,0.90699,0.76103,0.73452,0.72067,0.63082,0.59442,1.77302,0.95601,0.00997723,0.00997723,0.00997723
71,347.606,0.58158,0.96482,0.89863,0.76281,0.73452,0.74307,0.60582,0.7188,1.68026,1.00196,0.0099769,0.0099769,0.0099769
72,352.436,0.62592,1.00215,0.8916,0.82868,0.66122,0.74582,0.62456,0.67603,1.56494,0.99084,0.00997657,0.00997657,0.00997657
73,357.333,0.6181,0.93632,0.92896,0.82868,0.66122,0.74582,0.62456,0.67603,1.56494,0.99084,0.00997624,0.00997624,0.00997624
74,362.068,0.5738,0.85983,0.90694,0.8092,0.67349,0.75912,0.63902,0.69282,1.62513,0.99665,0.00997591,0.00997591,0.00997591
75,366.804,0.663,1.01843,0.92034,0.65734,0.77504,0.76182,0.64759,0.71575,1.55417,1.02856,0.00997558,0.00997558,0.00997558
76,371.52,0.60148,0.94723,0.90962,0.79529,0.69933,0.761,0.64082,0.74483,1.44336,1.03991,0.00997525,0.00997525,0.00997525
77,376.137,0.55806,0.90741,0.90177,0.79529,0.69933,0.761,0.64082,0.74483,1.44336,1.03991,0.00997492,0.00997492,0.00997492
78,380.836,0.64054,0.93447,0.94826,0.77745,0.73452,0.75883,0.62571,0.70851,1.58562,1.00673,0.00997459,0.00997459,0.00997459
79,385.517,0.59121,0.92126,0.89488,0.83112,0.65245,0.76023,0.64581,0.70371,1.58751,1.01763,0.00997426,0.00997426,0.00997426
80,390.177,0.56726,0.84243,0.89161,0.7855,0.72317,0.75123,0.58792,0.78001,1.85792,1.02902,0.00997393,0.00997393,0.00997393
81,394.837,0.60245,0.85029,0.9147,0.7855,0.72317,0.75123,0.58792,0.78001,1.85792,1.02902,0.0099736,0.0099736,0.0099736
82,399.481,0.6606,1.03104,0.92564,0.78117,0.7735,0.76817,0.63184,0.71018,1.45846,1.01251,0.00997327,0.00997327,0.00997327
83,404.166,0.56613,0.83903,0.9102,0.78732,0.78167,0.7723,0.65434,0.6599,1.33041,0.97665,0.00997294,0.00997294,0.00997294
84,408.846,0.5786,0.93106,0.88229,0.80999,0.76582,0.77526,0.65556,0.64362,1.51186,0.95482,0.00997261,0.00997261,0.00997261
85,413.502,0.62156,0.88379,0.90681,0.80999,0.76582,0.77526,0.65556,0.64362,1.51186,0.95482,0.00997228,0.00997228,0.00997228
86,418.259,0.56309,0.86599,0.92578,0.73844,0.77954,0.77454,0.67819,0.59229,1.35107,0.93746,0.00997195,0.00997195,0.00997195
87,422.957,0.60317,0.90409,0.94274,0.72854,0.77043,0.77471,0.66774,0.63499,1.38206,0.9703,0.00997162,0.00997162,0.00997162
88,427.684,0.53397,0.74983,0.90811,0.86315,0.77601,0.77592,0.65361,0.64271,1.38414,0.97156,0.00997129,0.00997129,0.00997129
89,432.316,0.60686,0.83278,0.91812,0.86315,0.77601,0.77592,0.65361,0.64271,1.38414,0.97156,0.00997096,0.00997096,0.00997096
90,437.045,0.66269,0.91616,0.91154,0.81937,0.72003,0.77549,0.6477,0.66546,1.43126,0.98848,0.00997063,0.00997063,0.00997063
91,441.757,0.6044,0.84637,0.90605,0.85532,0.70486,0.76075,0.65588,0.64192,1.3388,0.9953,0.0099703,0.0099703,0.0099703
92,446.447,0.49868,0.69123,0.87704,0.88787,0.72526,0.7714,0.65416,0.72847,1.24477,1.01446,0.00996997,0.00996997,0.00996997
93,451.084,0.55343,0.77648,0.90246,0.88787,0.72526,0.7714,0.65416,0.72847,1.24477,1.01446,0.00996964,0.00996964,0.00996964
94,455.727,0.58534,0.78349,0.85034,0.8752,0.71679,0.78396,0.68179,0.6755,1.2319,0.99898,0.00996931,0.00996931,0.00996931
